uid	abstract	title	journal
31907393	Osteoporosis develops because of impaired bone formation and/or excessive bone resorption. Several pharmacological treatment of osteoporosis has been developed; however, new treatments are still necessary. Cholesterol and estrogen receptor-related receptor alpha (ERRalpha) promote osteoclasts formation, survival, and cellular fusion and thus become high risk factors of osteoporosis. In this study, we identified that carnosic acid (CA) suppressed bone loss by dual-targeting of sterol regulatory element-binding protein 2 (SREBP2, a major regulator that regulates cholesterol synthesis) and ERRalpha. Mechanistically, CA reduced nuclear localization of mature SREBP2 and suppressed de novo biogenesis of cholesterol. CA subsequently decreased the interaction between ERRalpha and peroxisome proliferator-activated receptor gamma coactivator 1-beta (PGC1beta), resulting in decreased the transcription activity of ERRalpha and its target genes expression. Meanwhile, CA directly bound to the ligand-binding domain of ERRalpha and significantly promoted its ubiquitination and proteasomal degradation. Subsequently, STUB1 was identified as the E3 ligase of ERRalpha. The lysine residues (K51 and K68) are essential for ubiquitination and proteasomal degradation of ERRalpha by CA. In conclusion, CA dually targets SREBP2 and ERRalpha, thus inhibits the RANKL-induced osteoclast formation and improves OVX-induced bone loss. CA may serve as a lead compound for pharmacological control of osteoporosis.	Dual targeting of SREBP2 and ERRalpha by carnosic acid suppresses RANKL-mediated osteoclastogenesis and prevents ovariectomy-induced bone loss.	Cell death and differentiation
31959916	Intestinal epithelia self-renew constantly and generate differentiated cells such as secretary goblet cells. The intestine goblet cells secrete gel-forming mucins that form mucus to create a barrier of defense. We reported previously that loss of prolyl hydroxylase (PHD) 3 led to disruption of the intestinal epithelial barrier function. However, the underlying mechanism remains elusive. Here, we demonstrate that PHD3 controls the generation of intestine goblet cell. We found that genetic ablation of Phd3 in mice intestine epithelial cells reduced the amount of goblet cells. Mechanistically, PHD3 bounds the E3 ubiquitin ligase HUWE1 and prevented HUWE1 from mediating ubiquitination and degradation of ATOH1, an essential driver for goblet cell differentiation. The prolyl hydroxylase activity-deficient variant PHD3(H196A) also prevented ATOH1 destruction. A genetic intestine epithelial PHD3(H196A)-knockin had no effect on ATOH1 expression or goblet cell amount in mice, suggesting that the PHD3 prolyl hydroxylase activity is dispensable for its ability to control ATOH1 expression and goblet cell generation. In dextran sulfate sodium (DSS)-induced experimental colitis, PHD3-knockout rather than PHD3(H196A)-knockin sensitized the mice to DSS treatment. Our results reveal an additional critical mechanism underlying the regulation of ATOH1 expression and goblet cell generation and highlight that PHD3 plays a role in controlling intestine goblet cell generation in a hydroxylase-independent manner.	Prolyl hydroxylase 3 controls the intestine goblet cell generation through stabilizing ATOH1.	Cell death and differentiation
31959915	The identification of viability-associated long noncoding RNAs (lncRNAs) is a means of uncovering therapeutic approaches for hepatocellular carcinoma (HCC). In addition, aberrant genome-wide hypomethylation has been implicated in HCC initiation and progression. However, the relationship between lncRNA dysregulation and genome-wide hypomethylation in hepatocarcinogenesis has not been fully elucidated. A novel lncRNA named LINC00662 was previously demonstrated to play a role in gastrointestinal cancer. In this study, we demonstrated that this lncRNA was correlated with survival and exhibited oncogenic properties, both in vitro and in vivo. Moreover, we determined that LINC00662 could lead to genome-wide hypomethylation and alter the genomic methylation profile by synchronously reducing the S-adenosylmethionine (SAM) level and enhancing the S-adenosylhomocysteine (SAH) level. Mechanistically, LINC00662 was determined to regulate the key enzymes influencing SAM and SAH levels, namely, methionine adenosyltransferase 1A (MAT1A) and S-adenosylhomocysteine hydrolase (AHCY), by RNA-RNA and RNA-protein interactions. In addition, we demonstrated that some SAM-dependent HCC-promoting genes could be regulated by LINC00662 by altering the methylation status of their promoters via the LINC00662-coupled axes of MAT1A/SAM and AHCY/SAH. Taken together, the results of this this study indicate that LINC00662 could be a potential biomarker for HCC therapy. More importantly, we proposed a new role of lncRNA in regulating genomic methylation to promote oncogene activation.	LINC00662 promotes hepatocellular carcinoma progression via altering genomic methylation profiles.	Cell death and differentiation
31992855	Progression of chronic lymphocytic leukemia (CLL) and resistance to therapy are affected by tumor microenvironmental factors. One such factor is B-cell activating factor (BAFF), a cytokine that is produced mainly by nurse-like cells (NLC) and enhances CLL cells survival and modulates response to therapy. In CLL cells, BAFF activates NF-kappaB signaling, but how NF-kappaB supports CLL survival is not entirely clear. In this study we show that BAFF induces accumulation of the signaling and autophagy adaptor p62/SQSTM1 in a manner dependent on NF-kappaB activation. p62 potentiates mTORC1 signaling and activates NRF2, the master regulator of the anti-oxidant response. We found that expression of NRF2 target genes, such as NAD(P)H quinone oxidoreductase 1 (NQO1), is particularly enriched in CLL cells with high ROR1 surface expression (ROR1(Hi)). ROR1(Hi) CLL cells with elevated NQO1 expression exhibit resistance to drugs that induce ROS accumulation, such venetoclax. However, such cells are more sensitive to compound 29h, a pro-drug that only becomes active after being metabolized by NQO1. Accordingly, 29h sensitizes high NQO1 CLL cells to venetoclax. Collectively, our study unravels a previously unknown signaling network through which the NF-kappaB-p62-NRF2 axis protects ROR1-high CLL cells from ROS-inducing therapeutics.	NF-kappaB-p62-NRF2 survival signaling is associated with high ROR1 expression in chronic lymphocytic leukemia.	Cell death and differentiation
31996779	Heat shock can induce either cytoprotective mechanisms or cell death. We found that in certain human and mouse cells, including spermatocytes, activated heat shock factor 1 (HSF1) binds to sequences located in the intron(s) of the PMAIP1 (NOXA) gene and upregulates its expression which induces apoptosis. Such a mode of PMAIP1 activation is not dependent on p53. Therefore, HSF1 not only can activate the expression of genes encoding cytoprotective heat shock proteins, which prevents apoptosis, but it can also positively regulate the proapoptotic PMAIP1 gene, which facilitates cell death. This could be the primary cause of hyperthermia-induced elimination of heat-sensitive cells, yet other pro-death mechanisms might also be involved.	Pro-death signaling of cytoprotective heat shock factor 1: upregulation of NOXA leading to apoptosis in heat-sensitive cells.	Cell death and differentiation
32015502	Angiogenesis plays crucial roles in maintaining the complex operation of central nervous system (CNS) development. The architecture of communication between neurogenesis and angiogenesis is essential to maintain normal brain development and function. Hence, any disruption of neuron-vascular communications may lead to the pathophysiology of cerebrovascular diseases and blood-brain barrier (BBB) dysfunction. Here we demonstrate that neural differentiation and communication are required for vascular development. Regarding the cellular and molecular mechanism, our results show that PRDM16 activity determines the production of mature neurons and their specific positions in the neocortex. In the cortical plate (CP), aberrant neurons fail to secrete modular calcium-binding protein 1 (SMOC1), an important neuronal signal that participates in neurovascular communication to regulate CNS angiogenesis. Neuronal SMOC1 interacts with TGFBR1 by activating the transcription factors phospho-Smad2/3 to convey intercellular signals to endothelial cells (ECs) in the TGF-beta-Smad signaling pathway. Together, our results highlight a crucial coordinated neurovascular development process orchestrated by PRDM16 and reveal the importance of intimate communication for building the neurovascular network during brain development.	PRDM16 orchestrates angiogenesis via neural differentiation in the developing brain.	Cell death and differentiation
32051546	Rab5 is a master regulator for endosome biogenesis and transport while its in vivo physiological function remains elusive. Here, we find that Rab5a is upregulated in several in vivo and in vitro myogenesis models. By generating myogenic Rab5a-deficient mice, we uncover the essential roles of Rab5a in regulating skeletal muscle regeneration. We further reveal that Rab5a promotes myoblast differentiation and directly interacts with insulin receptor substrate 1 (IRS1), an essential scaffold protein for propagating IGF signaling. Rab5a interacts with IRS1 in a GTP-dependent manner and this interaction is enhanced upon IGF-1 activation and myogenic differentiation. We subsequently identify that the arginine 207 and 222 of IRS1 and tyrosine 82, 89, and 90 of Rab5a are the critical amino acid residues for mediating the association. Mechanistically, Rab5a modulates IRS1 activation by coordinating the association between IRS1 and the IGF receptor (IGFR) and regulating the intracellular membrane targeting of IRS1. Both myogenesis-induced and IGF-evoked AKT-mTOR signaling are dependent on Rab5a. Myogenic deletion of Rab5a also reduces the activation of AKT-mTOR signaling during skeletal muscle regeneration. Taken together, our study uncovers the physiological function of Rab5a in regulating muscle regeneration and delineates the novel role of Rab5a as a critical switch controlling AKT-mTOR signaling by activating IRS1.	Rab5a activates IRS1 to coordinate IGF-AKT-mTOR signaling and myoblast differentiation during muscle regeneration.	Cell death and differentiation
32042098	Mitochondria change distribution across cells following a variety of pathophysiological stimuli. The mechanisms presiding over this redistribution are yet undefined. In a murine model overexpressing Drp1 specifically in skeletal muscle, we find marked mitochondria repositioning in muscle fibres and we demonstrate that Drp1 is involved in this process. Drp1 binds KLC1 and enhances microtubule-dependent transport of mitochondria. Drp1-KLC1 coupling triggers the displacement of KIF5B from kinesin-1 complex increasing its binding to microtubule tracks and mitochondrial transport. High levels of Drp1 exacerbate this mechanism leading to the repositioning of mitochondria closer to nuclei. The reduction of Drp1 levels decreases kinesin-1 activation and induces the partial recovery of mitochondrial distribution. Drp1 overexpression is also associated with higher cyclin-dependent kinase-1 (Cdk-1) activation that promotes the persistent phosphorylation of desmin at Ser-31 and its disassembling. Fission inhibition has a positive effect on desmin Ser-31 phosphorylation, regardless of Cdk-1 activation, suggesting that induction of both fission and Cdk-1 are required for desmin collapse. This altered desmin architecture impairs mechanotransduction and compromises mitochondrial network stability priming mitochondria transport through microtubule-dependent trafficking with a mechanism that involves the Drp1-dependent regulation of kinesin-1 complex.	Drp1 overexpression induces desmin disassembling and drives kinesin-1 activation promoting mitochondrial trafficking in skeletal muscle.	Cell death and differentiation
32144382	Cancer cells are defective in DNA repair, so they experience increased DNA strand breaks, genome instability, gene mutagenesis, and tumorigenicity; however, multiple classic DNA repair genes and pathways are strongly activated in malignant tumor cells to compensate for the DNA repair deficiency and gain an apoptosis resistance. The mechanisms underlying this phenomenon in cancer are unclear. We speculate that a key DNA repair gene or signaling pathway in cancer has not yet been recognized. Here, we show that the lipogenic liver X receptor (LXR)-sterol response element binding factor-1 (SREBF1) axis controls the transcription of a key DNA repair gene polynucleotide kinase/phosphatase (PNKP), thereby governing cancer cell DNA repair and apoptosis. Notably, the PNKP levels were significantly reduced in 95% of human pancreatic cancer (PC) patients, particularly deep reduction for sixfold in all of the advanced-stage PC cases. PNKP is also deficient in three other types of cancer that we examined. In addition, the expression of LXRs and SREBF1 was significantly reduced in the tumor tissues from human PC patients compared with the adjacent normal tissues. The newly identified LXR-SREBF1-PNKP signaling pathway is deficient in PC, and the defect in the pathway contributes to the DNA repair deficiency in the cancer. Strikingly, further diminution of the vulnerable LXR-SREBF1-PNKP signaling pathway using a small molecule triptonide, a new LXR antagonist identified in this investigation, at a concentration of 8 nM robustly activated tumor-suppressor p53 and readily elevated cancer cell DNA strand breaks over an apoptotic threshold, and selectively induced PC cell apoptosis, resulting in almost complete elimination of tumors in xenograft mice without obvious complications. Our findings provide new insight into DNA repair and apoptosis in cancer, and offer a new platform for developing novel anticancer therapeutics.	The lipogenic LXR-SREBF1 signaling pathway controls cancer cell DNA repair and apoptosis and is a vulnerable point of malignant tumors for cancer therapy.	Cell death and differentiation
32094511	MCL1, a BCL2 relative, is critical for the survival of many cells. Its turnover is often tightly controlled through both ubiquitin-dependent and -independent mechanisms of proteasomal degradation. Several cell stress signals, including DNA damage and cell cycle arrest, are known to elicit distinct E3 ligases to ubiquitinate and degrade MCL1. Another trigger that drives MCL1 degradation is engagement by NOXA, one of its BH3-only protein ligands, but the mechanism responsible has remained unclear. From an unbiased genome-wide CRISPR-Cas9 screen, we discovered that the ubiquitin E3 ligase MARCH5, the ubiquitin E2 conjugating enzyme UBE2K, and the mitochondrial outer membrane protein MTCH2 co-operate to mark MCL1 for degradation by the proteasome-specifically when MCL1 is engaged by NOXA. This mechanism of degradation also required the MCL1 transmembrane domain and distinct MCL1 lysine residues to proceed, suggesting that the components likely act on the MCL1:NOXA complex by associating with it in a specific orientation within the mitochondrial outer membrane. MTCH2 has not previously been reported to regulate protein stability, but is known to influence the mitochondrial localization of certain key apoptosis regulators and to impact metabolism. We have now pinpointed an essential but previously unappreciated role for MTCH2 in turnover of the MCL1:NOXA complex by MARCH5, further strengthening its links to BCL2-regulated apoptosis.	MARCH5 requires MTCH2 to coordinate proteasomal turnover of the MCL1:NOXA complex.	Cell death and differentiation
